Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
D1,09/08/13,Bayern Munich,M'gladbach,3,1
D1,10/08/13,Augsburg,Dortmund,0,4
D1,10/08/13,Braunschweig,Werder Bremen,0,1
D1,10/08/13,Hannover,Wolfsburg,2,0
D1,10/08/13,Hertha,Ein Frankfurt,6,1
D1,10/08/13,Hoffenheim,Nurnberg,2,2
D1,10/08/13,Leverkusen,Freiburg,3,1
D1,11/08/13,Mainz,Stuttgart,3,2
D1,11/08/13,Schalke 04,Hamburg,3,3
D1,17/08/13,Ein Frankfurt,Bayern Munich,0,1
D1,17/08/13,Freiburg,Mainz,1,2
D1,17/08/13,Hamburg,Hoffenheim,1,5
D1,17/08/13,M'gladbach,Hannover,3,0
D1,17/08/13,Stuttgart,Leverkusen,0,1
D1,17/08/13,Werder Bremen,Augsburg,1,0
D1,17/08/13,Wolfsburg,Schalke 04,4,0
D1,18/08/13,Dortmund,Braunschweig,2,1
D1,18/08/13,Nurnberg,Hertha,2,2
D1,23/08/13,Dortmund,Werder Bremen,1,0
D1,24/08/13,Bayern Munich,Nurnberg,2,0
D1,24/08/13,Hannover,Schalke 04,2,1
D1,24/08/13,Hertha,Hamburg,1,0
D1,24/08/13,Hoffenheim,Freiburg,3,3
D1,24/08/13,Leverkusen,M'gladbach,4,2
D1,24/08/13,Mainz,Wolfsburg,2,0
D1,25/08/13,Augsburg,Stuttgart,2,1
D1,25/08/13,Braunschweig,Ein Frankfurt,0,2
D1,27/08/13,Freiburg,Bayern Munich,1,1
D1,31/08/13,Hamburg,Braunschweig,4,0
D1,31/08/13,Hannover,Mainz,4,1
D1,31/08/13,M'gladbach,Werder Bremen,4,1
D1,31/08/13,Nurnberg,Augsburg,0,1
D1,31/08/13,Schalke 04,Leverkusen,2,0
D1,31/08/13,Wolfsburg,Hertha,2,0
D1,01/09/13,Ein Frankfurt,Dortmund,1,2
D1,01/09/13,Stuttgart,Hoffenheim,6,2
D1,13/09/13,Hertha,Stuttgart,0,1
D1,14/09/13,Augsburg,Freiburg,2,1
D1,14/09/13,Bayern Munich,Hannover,2,0
D1,14/09/13,Dortmund,Hamburg,6,2
D1,14/09/13,Leverkusen,Wolfsburg,3,1
D1,14/09/13,Mainz,Schalke 04,0,1
D1,14/09/13,Werder Bremen,Ein Frankfurt,0,3
D1,15/09/13,Braunschweig,Nurnberg,1,1
D1,15/09/13,Hoffenheim,M'gladbach,2,1
D1,20/09/13,M'gladbach,Braunschweig,4,1
D1,21/09/13,Hamburg,Werder Bremen,0,2
D1,21/09/13,Hannover,Augsburg,2,1
D1,21/09/13,Mainz,Leverkusen,1,4
D1,21/09/13,Nurnberg,Dortmund,1,1
D1,21/09/13,Schalke 04,Bayern Munich,0,4
D1,21/09/13,Wolfsburg,Hoffenheim,2,1
D1,22/09/13,Freiburg,Hertha,1,1
D1,22/09/13,Stuttgart,Ein Frankfurt,1,1
D1,27/09/13,Augsburg,M'gladbach,2,2
D1,28/09/13,Bayern Munich,Wolfsburg,1,0
D1,28/09/13,Dortmund,Freiburg,5,0
D1,28/09/13,Ein Frankfurt,Hamburg,2,2
D1,28/09/13,Hertha,Mainz,3,1
D1,28/09/13,Hoffenheim,Schalke 04,3,3
D1,28/09/13,Leverkusen,Hannover,2,0
D1,29/09/13,Braunschweig,Stuttgart,0,4
D1,29/09/13,Werder Bremen,Nurnberg,3,3
D1,06/10/13,Freiburg,Ein Frankfurt,1,1
D1,06/10/13,Nurnberg,Hamburg,0,5
D1,05/10/13,Leverkusen,Bayern Munich,1,1
D1,05/10/13,Mainz,Hoffenheim,2,2
D1,05/10/13,M'gladbach,Dortmund,2,0
D1,05/10/13,Schalke 04,Augsburg,4,1
D1,05/10/13,Stuttgart,Werder Bremen,1,1
D1,05/10/13,Wolfsburg,Braunschweig,0,2
D1,04/10/13,Hannover,Hertha,1,1
D1,18/10/13,Hoffenheim,Leverkusen,1,2
D1,19/10/13,Bayern Munich,Mainz,4,1
D1,19/10/13,Braunschweig,Schalke 04,2,3
D1,19/10/13,Dortmund,Hannover,1,0
D1,19/10/13,Ein Frankfurt,Nurnberg,1,1
D1,19/10/13,Hertha,M'gladbach,1,0
D1,19/10/13,Werder Bremen,Freiburg,0,0
D1,20/10/13,Augsburg,Wolfsburg,1,2
D1,20/10/13,Hamburg,Stuttgart,3,3
D1,25/10/13,Stuttgart,Nurnberg,1,1
D1,26/10/13,Bayern Munich,Hertha,3,2
D1,26/10/13,Hannover,Hoffenheim,1,4
D1,26/10/13,Leverkusen,Augsburg,2,1
D1,26/10/13,Mainz,Braunschweig,2,0
D1,26/10/13,Schalke 04,Dortmund,1,3
D1,26/10/13,Wolfsburg,Werder Bremen,3,0
D1,27/10/13,Freiburg,Hamburg,0,3
D1,27/10/13,M'gladbach,Ein Frankfurt,4,1
D1,01/11/13,Dortmund,Stuttgart,6,1
D1,02/11/13,Braunschweig,Leverkusen,1,0
D1,02/11/13,Ein Frankfurt,Wolfsburg,1,2
D1,02/11/13,Hamburg,M'gladbach,0,2
D1,02/11/13,Hertha,Schalke 04,0,2
D1,02/11/13,Hoffenheim,Bayern Munich,1,2
D1,02/11/13,Nurnberg,Freiburg,0,3
D1,03/11/13,Augsburg,Mainz,2,1
D1,03/11/13,Werder Bremen,Hannover,3,2
D1,08/11/13,Hannover,Braunschweig,0,0
D1,09/11/13,Bayern Munich,Augsburg,3,0
D1,09/11/13,Hoffenheim,Hertha,2,3
D1,09/11/13,Leverkusen,Hamburg,5,3
D1,09/11/13,M'gladbach,Nurnberg,3,1
D1,09/11/13,Schalke 04,Werder Bremen,3,1
D1,09/11/13,Wolfsburg,Dortmund,2,1
D1,10/11/13,Freiburg,Stuttgart,1,3
D1,10/11/13,Mainz,Ein Frankfurt,1,0
D1,22/11/13,Stuttgart,M'gladbach,0,2
D1,23/11/13,Augsburg,Hoffenheim,2,0
D1,23/11/13,Braunschweig,Freiburg,0,1
D1,23/11/13,Dortmund,Bayern Munich,0,3
D1,23/11/13,Ein Frankfurt,Schalke 04,3,3
D1,23/11/13,Hertha,Leverkusen,0,1
D1,23/11/13,Nurnberg,Wolfsburg,1,1
D1,24/11/13,Hamburg,Hannover,3,1
D1,24/11/13,Werder Bremen,Mainz,2,3
D1,29/11/13,Wolfsburg,Hamburg,1,1
D1,30/11/13,Bayern Munich,Braunschweig,2,0
D1,30/11/13,Hertha,Augsburg,0,0
D1,30/11/13,Hoffenheim,Werder Bremen,4,4
D1,30/11/13,Leverkusen,Nurnberg,3,0
D1,30/11/13,Mainz,Dortmund,1,3
D1,30/11/13,Schalke 04,Stuttgart,3,0
D1,01/12/13,Hannover,Ein Frankfurt,2,0
D1,01/12/13,M'gladbach,Freiburg,1,0
D1,06/12/13,Nurnberg,Mainz,1,1
D1,07/12/13,Dortmund,Leverkusen,0,1
D1,07/12/13,Ein Frankfurt,Hoffenheim,1,2
D1,07/12/13,Hamburg,Augsburg,0,1
D1,07/12/13,M'gladbach,Schalke 04,2,1
D1,07/12/13,Stuttgart,Hannover,4,2
D1,07/12/13,Werder Bremen,Bayern Munich,0,7
D1,08/12/13,Braunschweig,Hertha,0,2
D1,08/12/13,Freiburg,Wolfsburg,0,3
D1,13/12/13,Hertha,Werder Bremen,3,2
D1,14/12/13,Augsburg,Braunschweig,4,1
D1,14/12/13,Bayern Munich,Hamburg,3,1
D1,14/12/13,Hannover,Nurnberg,3,3
